ticket_id,status,product_area,response,justification,request_type,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
T0001,replied,devplatform_account_access,"Here's the relevant guidance from our documentation:
Deleting your DevPlatform account
To request deletion of your DevPlatform Community account:
1. Sign in to the account you want to delete.
2. Open Account Settings > Privacy & data.
3. Choose Delete account and follow the confirmation flow.
Accounts created via Google / SSO login
If you signed up with Google or another single-sign-on provider, you do
not have a separate DevPlatform password — that is expected. Use the
Continue with Google button at the sign-in page to access the
account, then follow the deletion flow above.
What gets deleted
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.264 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6959,data/devplatform/account/delete-account.md|data/devplatform/account/password-reset.md,low,false,en,[]
T0002,replied,claude_general,"Here's what our documentation says:
Setting up Claude for an LTI-based classroom
Claude offers LTI 1.3 integration so professors can provision Claude
access to students from inside a learning-management system (LMS) like
Canvas, Moodle, or Blackboard.
To set up an LTI integration
1. Request LTI access from your Claude account team or via the
Education contact form on claude.com.
2. Once approved, you'll receive an LTI issuer, client ID, and
the JWKS/launch URLs to enter into your LMS.
3. In your LMS, add Claude as an external tool using those values.
4. Configure roster sync (recommended): students are then
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.036 | domain=claude | decision=heuristic_fallback | reasons=conversation_pressure_tactic,product_issue,0.5524,data/claude/edu/lti-setup.md,low,false,en,[]
T0003,replied,devplatform_fraud_dispute,"Here's what our documentation says:
What the candidate sees
The candidate sees the adjusted duration on the test start screen, even
though the original invite email may show the base duration. This is
expected — the platform applies the accommodation at start time.
When to reinvite
If the test has not been started, the existing invite stays valid and
the time accommodation will apply automatically — no reinvite needed. If
the test has already been started or completed, reinvitation rules apply
(see test-invites.md).
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=high | retrieval_top1=1.232 | domain=devplatform | decision=heuristic_fallback | reasons=risk_pattern_high_dispute,product_issue,0.5548,data/devplatform/candidates/time-accommodation.md,high,false,en,[]
T0004,replied,visa_billing,"From our help center on this topic:
ATM kept my card / I forgot my PIN
ATMs commonly capture (retain) a Visa card after three consecutive
incorrect PIN attempts. The captured card stays in the ATM until the
operating bank retrieves and disposes of it during the next
maintenance cycle (usually within 1–2 business days).
Immediate steps
1. Note the ATM details — bank name, branch, ATM ID, date/time.
2. Call your card issuer using the number on the back of your card
to confirm the PIN block and block the card from further use.
3. If you cannot reach the issuer, call Visa Global Customer Assistance
([phone_redacted]
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=medium | retrieval_top1=1.264 | domain=visa | decision=heuristic_fallback | reasons=risk_pattern_medium_billing,product_issue,0.6278,data/visa/cards/atm-pin-blocked.md,medium,false,en,[]
T0005,replied,visa_billing,"From our help center on this topic:
ATM kept my card / I forgot my PIN
ATMs commonly capture (retain) a Visa card after three consecutive
incorrect PIN attempts. The captured card stays in the ATM until the
operating bank retrieves and disposes of it during the next
maintenance cycle (usually within 1–2 business days).
Immediate steps
1. Note the ATM details — bank name, branch, ATM ID, date/time.
2. Call your card issuer using the number on the back of your card
to confirm the PIN block and block the card from further use.
3. If you cannot reach the issuer, call Visa Global Customer Assistance
([phone_redacted]
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.","state=RESOLVED | reason=grounded_reply | risk=medium | retrieval_top1=0.930 | domain=devplatform | decision=heuristic_fallback | reasons=risk_pattern_medium_billing,conversation_pressure_tactic,scope_ambiguous",invalid,0.4620,data/visa/cards/atm-pin-blocked.md,medium,false,en,[]
T0006,replied,visa_general,"From our help center on this topic:
ATM kept my card / I forgot my PIN
ATMs commonly capture (retain) a Visa card after three consecutive
incorrect PIN attempts. The captured card stays in the ATM until the
operating bank retrieves and disposes of it during the next
maintenance cycle (usually within 1–2 business days).
Immediate steps
1. Note the ATM details — bank name, branch, ATM ID, date/time.
2. Call your card issuer using the number on the back of your card
to confirm the PIN block and block the card from further use.
3. If you cannot reach the issuer, call Visa Global Customer Assistance
([phone_redacted]
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=0.935 | domain=devplatform | decision=heuristic_fallback | reasons=scope_ambiguous,invalid,0.5921,data/visa/cards/atm-pin-blocked.md,low,false,en,[]
T0007,replied,devplatform_general,"From our help center on this topic:
Managing your DevPlatform workspace subscription
Workspace owners can manage seats, plan tier, and billing settings.
Pausing a subscription
You can pause a workspace subscription when you have temporarily
stopped hiring. While paused:
- Existing candidates retain access to in-flight tests.
- You cannot send new invites.
- Billing is suspended for the pause window.
To pause, open Settings > Billing > Pause subscription and choose a
pause length (1, 3, or 6 months). At the end of the window the
subscription resumes automatically.
If you need a custom pause duration or an immediate
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.183 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6326,data/devplatform/billing/subscription-management.md,low,false,en,[]
T0008,replied,devplatform_general,"Thanks for reaching out — that's outside the scope of what I can help with here (DevPlatform, Claude, or Visa support). If you have a support question about one of those products, share the details and I'll route it to the right team.",state=RESOLVED | reason=harmless_out_of_scope:weak_signal | risk=low | retrieval_top1=0.954 | domain=devplatform | decision=heuristic_fallback | reasons=scope_harmless,invalid,0.3000,,low,false,en,[]
T0009,replied,devplatform_assessment,"Here's the relevant guidance from our documentation:
Disadvantages and limitations
- A test must have at least two variants to function as a variant test.
- You cannot delete a variant if only two exist (the test would no
longer qualify as a variant test).
- Variants without routing logic are hidden from candidates until logic
is added.
- Reporting structure is shared across variants; you cannot diverge it
arbitrarily.
When to create a separate test instead
- Roles are fundamentally different (e.g. Backend engineer vs designer).
- You need a different time budget per role.
- You need a different proctoring or scoring rubric per ro
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=0.969 | domain=devplatform | decision=heuristic_fallback | reasons=scope_ambiguous,invalid,0.5824,data/devplatform/tests/test-variants.md,low,false,en,[]
T0010,replied,claude_assessment,"From our help center on this topic:
- Check the project scope — instructions only apply to conversations
started inside the Project, not to chats opened from the main
sidebar.
- Refresh the conversation — newly added instructions are picked up
on the next user turn, not retroactively in the existing turn.
- Check the model — some older models in Project context may have
shorter effective instruction windows; switching to the current
model usually resolves this.
- Verify the instructions are saved — open the project settings and
confirm the instructions text is present and saved.
If the instructio
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.","state=RESOLVED | reason=grounded_reply | risk=medium | retrieval_top1=0.928 | domain=devplatform | decision=heuristic_fallback | reasons=risk_pattern_medium_bug,scope_ambiguous",invalid,0.5573,data/claude/projects/projects-instructions.md,medium,false,en,[]
